,Parameter,x,R^2,MAE,Mordred Descriptor
0,$\epsilon$,1,0.07407680394890781,0.109154474,ATS5se
1,$\epsilon$,2,0.16142816788196657,0.1218475930666667,WPath
2,$\epsilon$,3,0.39345929072273933,0.13324036783333348,ATSC8v
3,$\epsilon$,4,0.4925661553062709,0.11930924706666686,ATS6s
4,$\epsilon$,5,0.5570317364654291,0.11837245276666686,ATS3s
5,$\epsilon$,6,0.7582285881280293,0.06666709490000006,ATS8s
6,$\epsilon$,7,0.8464909469843283,0.06414876449999989,ATS0se
7,$\epsilon$,8,0.8625587934270253,0.062416441599999914,ATSC0dv
8,$\epsilon$,9,0.8839038383342898,0.04956697726666663,Diameter
9,$\epsilon$,10,0.9164668094482039,0.04419647333333343,Xp-3dv
10,$\sigma$,1,0.23294557721273412,0.8611592806983237,ATSC8v
11,$\sigma$,2,0.2427702893855911,0.7740164178147436,ATS5s
12,$\sigma$,3,0.35046545347222835,1.1123000861501693,BertzCT
13,$\sigma$,4,0.5439533099465106,0.6760744938189923,ATS8se
14,$\sigma$,5,0.5582265380360651,0.40650508552287656,ATSC5Z
15,$\sigma$,6,0.6370220458955382,0.5273384883143916,SpAD_Dzm
16,$\sigma$,7,0.6374054547345843,0.3811534986195884,SpAD_Dzse
17,$\sigma$,8,0.681240982554356,0.5316874516700862,SpAbs_DzZ
18,$\sigma$,9,0.7079855143395406,0.4673479999423698,SpAbs_Dzare
19,$\sigma$,10,0.7378262860359882,0.46381187245063293,VMcGowan
20,$\sigma$,11,0.7747726593714518,0.30930157117874624,ATSC8Z
21,$\sigma$,12,0.8445239363405349,0.3123443926612019,SpDiam_Dzm
22,$\sigma$,13,0.8549828976098139,0.28779313287039,MWC01
23,$\sigma$,14,0.8783035710850948,0.28214476856016424,SlogP_VSA10
24,$\mu$,1,0.11562499999999953,0.25,ATS3i
25,$\mu$,2,0.13899999999999968,0.312,ATS1dv
26,$\mu$,3,0.3286249999999996,0.22599999999999998,TopoPSA(NO)
27,$\mu$,4,0.47675000000000023,0.2039999999999999,TIC3
28,$\mu$,5,0.5438333333333334,0.27599999999999997,SpAbs_D
29,$\mu$,6,0.7344166666666665,0.20599999999999996,SpAD_DzZ
30,$\mu$,7,0.90675,0.1,SpAbs_Dzm
31,$\mu$,8,0.93475,0.08399999999999999,ATSC1s
32,$\mu$,9,0.9690000000000001,0.04799999999999986,ZMIC5
33,$r_{c}$,1,0.11882906270033433,1.290830667295738,ATSC0v
34,$r_{c}$,2,0.23477786987746707,1.996867921567405,SpAD_Dzpe
35,$r_{c}$,3,0.3601748133478897,1.933115855809526,SpAD_Dzare
36,$r_{c}$,4,0.5406775181747159,1.9605372350658397,ATSC0dv
37,$r_{c}$,5,0.6707664845439598,1.5325759181457799,SpDiam_Dzse
38,$r_{c}$,6,0.682563094230331,1.2340315004448434,ATSC6dv
39,$r_{c}$,7,0.7963696184951065,1.1528697611906544,AATS1m
40,$r_{c}$,8,0.856375222318866,0.9015178508927854,LogEE_Dzse
