Biomolecule,Molecule Number,E,S,V,U,R,Q,M,Type
ndsm_acetylenapthacene,25,0.2934054966666666,7.782794422311611,1,5,24.76576985821614,0.0,156.14068,NDSM
ndsm_acetylenapthacene,26,0.3196587349999998,6.816082080097923,1,5,19.251745365515276,0.0,180.20384,NDSM
ndsm_aminoacridine,27,0.33221491833333316,6.7009278095603735,1,5,24.948549625991117,0.0,194.2361,NDSM
ndsm_anacardic,28,0.1708914825,6.980800597353066,1,3,18.764813022260732,0.0,113.22349,NDSM
ndsm_anacardic,29,0.1708914825,6.980800597353066,1,3,18.764813022260732,0.0,110.19958,NDSM
ndsm_anacardic,30,0.1065345116666667,6.58569470057949,1,2,17.15370220169076,0.0,125.10405,NDSM
ndsm_anthraquinone,31,0.1806034001666668,7.1418081684299795,1,2,23.00477574373487,0.0,136.10708,NDSM
ndsm_anthraquinone,32,0.025928490000000002,6.684247485926154,1,5,23.329098898521533,0.0,104.10828,NDSM
ndsm_diethylaminopentane,33,0.23089506800000004,6.732766808991208,1,5,17.748329853410237,0.0,158.28774,NDSM
ndsm_dmso,34,0.100410455,6.507145632678389,1,8,18.442293863341302,0.0,78.12922,NDSM
ndsm_ethylenediamine,35,0.13345805749999998,6.823508253301441,1,2,18.740781700910738,0.0,104.15244,NDSM
ndsm_hexanediol,36,0.15966621250000002,6.5561884422492565,1,2,18.015100964574113,0.0,118.17638,NDSM
ndsm_propanedithiol,37,0.269209787,6.822550360654293,1,3,19.18520357850014,0.0,108.21676,NDSM
ndsm_valeric,38,0.022258141000000006,6.761109776434999,1,3,18.756255364260873,0.0,102.1335,NDSM
dsm_anisomycin,39,0.3307906749999999,7.5253933262737,1,5,18.104419904915243,0.0,158.17754,DSM
dsm_anisomycin,40,0.0309030185,6.7793155089204875,1,5,18.26133672323115,0.0,107.13219,DSM
dsm_daunorubicin,41,0.20050046883333333,7.3141915883773345,1,5,22.956224927724687,0.0,134.13462,DSM
dsm_daunorubicin,42,0.031015969999999993,6.565697571711178,1,5,19.495940297631375,0.0,81.05077,DSM
dsm_daunorubicin,43,0.28820574800000004,6.9541994300952785,1,2,17.836432018235893,0.0,139.13099,DSM
dsm_daunorubicin,44,0.3794963383333332,6.84994214383657,1,5,19.51054146419516,0.0,173.21245,DSM
dsm_dihydrolipoic,45,0.022258141000000006,6.761109776434999,1,3,18.756255364260873,0.0,101.12553,DSM
dsm_dihydrolipoic,46,0.269209787,6.822550360654293,1,3,19.18520357850014,0.0,107.20879,DSM
dsm_hydroxyquinoline,47,0.1918565151666667,7.76690486378069,1,5,24.408175075059795,0.0,145.16089,DSM
dsm_lipoamide,48,0.02364456266666667,6.756339998890805,1,2,18.75168445223185,0.0,100.1408,DSM
dsm_lipoamide,49,0.27150394999999994,6.840141773083396,1,8,18.36687287905871,0.0,105.19285,DSM
dsm_lipoic,50,0.022258141000000006,6.761109776434999,1,3,18.756255364260873,0.0,101.12553,DSM
dsm_lipoic,51,0.27150394999999994,6.840141773083396,1,8,18.36687287905871,0.0,105.19285,DSM
dsm_mitoxantrone,52,0.3604869083333335,7.18690706687966,1,3,24.707023679742566,0.0,188.13948,DSM
dsm_mitoxantrone,53,0.17559795799999997,6.778568512019389,1,5,17.58904207255403,0.0,141.19341,DSM
dsm_mitoxantrone,54,0.14005517416666668,6.5893519852205005,1,5,18.456455305075146,0.0,115.15547,DSM
dsm_pararosaniline,55,0.3230695883333331,6.690598196309857,1,5,25.00936544520154,0.0,195.24407,DSM
dsm_pararosaniline,56,0.02832663499999999,6.70418657350753,1,6,23.061942040706253,0.0,92.12052,DSM
dsm_pyrivinium,57,0.02832663499999999,6.70418657350753,1,6,23.061942040706253,0.0,91.11255,DSM
dsm_pyrivinium,58,0.15119208516666668,7.030610216204296,1,5,17.89617619907834,0.0,117.17073,DSM
dsm_pyrivinium,59,0.27359185566666644,6.759863583152069,1,5,19.338649682663487,0.0,174.24598,DSM
dsm_quinicrine,60,0.17776428150000004,6.696323582547575,1,5,22.95996114989309,0.0,112.53861,DSM
dsm_quinicrine,61,0.0309030185,6.7793155089204875,1,5,18.26133672323115,0.0,106.12422,DSM
dsm_quinicrine,62,0.2525002176666666,6.576281285365156,1,5,18.522622098089034,0.0,181.30177,DSM
